date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2012-01-01,1302603,201201,23.5776,26.4358,29.4713,0.0034,2.4919,14.1971,19.9353,0.9863,0.9893,0.9915,71.9257,84.9614,96.8463
2012-01-02,1302603,201201,24.4484,26.1401,28.0239,0.0708,2.3304,5.7423,18.6432,0.9871,0.9891,0.991,78.7056,87.9689,96.3509
2012-01-03,1302603,201201,24.0368,25.4864,27.2661,0.3982,5.1823,12.5032,41.4585,0.9879,0.9896,0.9914,78.5467,89.9032,97.3886
2012-01-04,1302603,201201,23.7427,25.242,26.4635,0.0107,7.439,16.2924,59.5116,0.9891,0.9908,0.9928,83.7411,90.3928,97.3329
2012-01-05,1302603,201201,23.5689,25.3387,28.7727,0.0793,3.2862,16.7249,26.2898,0.9874,0.9901,0.9922,78.2364,89.3147,96.7769
2012-01-06,1302603,201201,23.6578,25.8453,28.9634,0.2074,2.7988,8.4697,22.3907,0.988,0.9898,0.9915,73.5888,86.5641,95.9129
2012-01-07,1302603,201201,23.2882,24.7194,27.2457,1.0043,6.1899,15.8139,49.5189,0.9879,0.9904,0.9922,77.0271,90.9442,97.6877
2012-01-08,1302603,201202,23.4402,25.2221,27.5879,0.1312,6.2894,12.5604,50.3152,0.987,0.9901,0.9924,78.4691,89.4602,97.5346
2012-01-09,1302603,201202,23.2455,25.7842,29.6836,2.2036,5.7368,15.0556,45.8944,0.987,0.9899,0.992,69.0099,87.4792,97.2715
2012-01-10,1302603,201202,23.3524,25.1779,27.355,3.5489,7.6593,14.0518,61.2742,0.9871,0.9894,0.9912,81.429,89.9166,97.2851
2012-01-11,1302603,201202,23.4528,25.6339,28.3237,0.0022,2.9106,14.0571,23.2848,0.9862,0.9886,0.9903,76.4427,87.6557,97.4143
2012-01-12,1302603,201202,23.4288,26.1158,30.4227,0.0,1.5955,7.3081,12.7642,0.9858,0.9885,0.9903,67.6697,84.466,95.4035
2012-01-13,1302603,201202,24.1448,26.0548,29.1619,0.0001,2.733,7.347,21.8637,0.9867,0.9889,0.9914,71.8248,86.1888,94.762
2012-01-14,1302603,201202,24.2438,25.3735,26.7458,1.5189,6.506,12.1643,52.0482,0.9884,0.9901,0.9923,79.8322,89.0169,95.8506
2012-01-15,1302603,201203,22.8874,24.6898,26.9621,2.8503,9.4726,12.804,75.7804,0.9902,0.9917,0.9935,79.1812,90.8297,96.9874
2012-01-16,1302603,201203,22.7727,24.7164,27.8714,1.2792,6.6352,15.8275,53.0818,0.9896,0.9919,0.9936,77.9512,90.3982,97.6507
2012-01-17,1302603,201203,23.0446,24.3849,26.3811,0.4731,5.7147,14.2329,45.7174,0.9877,0.9909,0.9928,82.0188,91.1536,96.3764
2012-01-18,1302603,201203,22.8185,24.1841,25.6056,0.8262,6.0684,13.062,48.5472,0.9873,0.9896,0.9916,86.938,92.8974,98.0129
2012-01-19,1302603,201203,22.5633,24.4845,27.0753,1.2248,6.4385,13.7128,51.5078,0.9866,0.9892,0.9914,77.4915,89.8619,97.9893
