"date,""geocodigo"",""epiweek"",""temp_min"",""temp_med"",""temp_max"",""precip_min"",""precip_med"",""precip_max"",""precip_tot"",""pressao_min"",""pressao_med"",""pressao_max"",""umid_min"",""umid_med"",""umid_max"""
"2003-08-01,""1300029"",""200331"",""22.6719"",""24.9734"",""27.9601"",""0.0162"",""2.4902"",""7.8192"",""19.9216"",""0.9877"",""0.9905"",""0.9922"",""84.3395"",""92.631"",""99.3068"""
"2003-08-01,""1300060"",""200331"",""23.0661"",""24.7771"",""28.4819"",""0.274"",""2.9058"",""11.3013"",""23.2465"",""0.9876"",""0.9899"",""0.9922"",""77.6021"",""93.0954"",""98.5431"""
"2003-08-01,""1300086"",""200331"",""23.3878"",""25.5645"",""29.4566"",""0.0027"",""2.2218"",""5.0149"",""17.7748"",""0.9918"",""0.9945"",""0.9964"",""73.5292"",""91.7332"",""98.9093"""
"2003-08-01,""1300102"",""200331"",""23.3292"",""25.5831"",""28.0525"",""0.0012"",""5.3099"",""12.2414"",""42.4794"",""0.9924"",""0.9949"",""0.9967"",""81.1033"",""91.8788"",""98.4787"""
"2003-08-01,""1300144"",""200331"",""24.0559"",""27.6464"",""32.5652"",""0"",""0.1273"",""0.5734"",""1.0185"",""0.9787"",""0.9809"",""0.9831"",""46.3116"",""65.9551"",""81.8236"""
"2003-08-01,""1300201"",""200331"",""22.2131"",""25.0424"",""29.1483"",""0.0122"",""0.3352"",""1.1589"",""2.6816"",""0.9784"",""0.9815"",""0.9839"",""67.8727"",""86.9005"",""98.6215"""
"2003-08-01,""1300300"",""200331"",""24.1084"",""26.3406"",""29.4594"",""0.0074"",""1.3653"",""4.0483"",""10.9228"",""0.9927"",""0.9953"",""0.997"",""72.4033"",""87.3754"",""97.719"""
"2003-08-01,""1300409"",""200331"",""22.4314"",""24.9429"",""28.8543"",""0.0101"",""1.3977"",""7.3213"",""11.1817"",""0.9855"",""0.9887"",""0.9906"",""73.389"",""91.1224"",""99.3029"""
"2003-08-01,""1300508"",""200331"",""24.0576"",""26.3678"",""29.6474"",""0.0076"",""1.0127"",""3.6582"",""8.1018"",""0.9925"",""0.9946"",""0.9963"",""70.9743"",""89.5506"",""99.2107"""
"2003-08-01,""1300607"",""200331"",""22.7612"",""25.0921"",""28.3931"",""0.1244"",""0.972"",""3.7685"",""7.776"",""0.9806"",""0.9832"",""0.9857"",""74.8787"",""88.9775"",""98.3374"""
"2003-08-01,""1300631"",""200331"",""23.5084"",""25.685"",""28.2899"",""0.0301"",""3.4198"",""9.2465"",""27.3581"",""0.9914"",""0.9937"",""0.9955"",""80.021"",""91.2345"",""97.5785"""
"2003-08-01,""1300680"",""200331"",""24.1284"",""26.4763"",""29.239"",""0.006"",""1.5268"",""4.9966"",""12.2143"",""0.9935"",""0.9956"",""0.9972"",""72.6429"",""88.4967"",""99.356"""
"2003-08-01,""1300706"",""200331"",""22.3108"",""26.4026"",""31.2068"",""0"",""0.0274"",""0.1299"",""0.2194"",""0.9766"",""0.9792"",""0.9819"",""46.8428"",""71.3219"",""88.6126"""
"2003-08-01,""1300805"",""200331"",""23.8145"",""25.9979"",""28.8182"",""0.0324"",""2.6401"",""8.2955"",""21.1209"",""0.9897"",""0.992"",""0.9937"",""75.4619"",""88.7714"",""96.6746"""
"2003-08-01,""1300839"",""200331"",""23.0897"",""25.5287"",""28.8183"",""0.0137"",""1.2952"",""3.8951"",""10.3617"",""0.9909"",""0.9936"",""0.9956"",""78.0046"",""91"",""99.0393"""
"2003-08-01,""1300904"",""200331"",""23.1577"",""26.9485"",""31.7166"",""0.0001"",""0.111"",""0.5764"",""0.8884"",""0.9864"",""0.989"",""0.9914"",""51.7514"",""72.4762"",""87.8631"""
"2003-08-01,""1301001"",""200331"",""23.1665"",""25.4786"",""29.0014"",""0.0116"",""0.7645"",""3.166"",""6.116"",""0.984"",""0.9867"",""0.9892"",""73.9875"",""87.4629"",""96.7309"""
"2003-08-01,""1301100"",""200331"",""23.5992"",""25.725"",""28.8877"",""0.008"",""1.5893"",""4.8135"",""12.7146"",""0.9923"",""0.9949"",""0.9967"",""76.3299"",""90.4587"",""99.0631"""
"2003-08-01,""1301159"",""200331"",""24.4131"",""26.6478"",""29.2524"",""0.242"",""0.9277"",""2.1476"",""7.4218"",""0.9931"",""0.9957"",""0.9975"",""72.3122"",""85.6628"",""96.9517"""
"2003-08-01,""1301209"",""200331"",""23.2682"",""25.4677"",""28.2494"",""0.1491"",""2.9129"",""7.8984"",""23.3033"",""0.989"",""0.9915"",""0.9934"",""79.8139"",""90.5419"",""97.9412"""
