year,total_population,rural_proportion,rural_population
2000,1403796,0.0064495477776552,9053.849372081258
2001,1443617,0.006295958657754984,9088.952949632278
2002,1483439,0.006146027099371476,9117.256294264524
2003,1523261,0.0059996660015677284,9139.05723321406
2004,1563083,0.005856790337622953,9154.649411302698
2005,1602905,0.005717317105637278,9164.316175211521
2006,1642726,0.005581165280312786,9168.3253162671
2007,1682548,0.0054482557658828415,9166.951842374643
2008,1722370,0.005318511350162357,9160.44439417914
2009,1762192,0.005191856659692302,9149.048270856498
2010,1802014,0.0050682181159524,9132.999999999847
2011,1823820,0.0049475238926165645,9023.393025831943
2012,1845626,0.004829703873826265,8913.827041834475
2013,1867432,0.004714689613457559,8804.362254238276
2014,1889239,0.004602414295358141,8695.060580948119
2015,1911045,0.004492812694531297,8585.967235820563
2016,1932851,0.004385821139244229,8477.138774809348
2017,1954657,0.004281377474038731,8368.624449272125
2018,1976464,0.004179421023622717,8260.475194033448
2019,1998270,0.004079892557621641,8152.726901118595
2020,2020076,0.003982734256169323,8045.4258852655
2021,2041882,0.0038878896763181944,7938.611948059947
2022,2063689,0.0037953037192494424,7832.326537074163
2023,2143703,0.003704922598264017,7942.253688666368
2024,2223717,0.0036166938075358904,8042.503503612287
2025,2303732,0.0035305660916094338,8133.478083355584
