"Ano,""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro"""
"1985,""127"",""501"","" - "",""432"",""1"",""39"",""618"",""115"",""120"",""25"",""198"","" - """
"1986,"" - "",""11"",""237"",""2"",""139"",""36"",""2"",""281"",""17"",""248"",""112"",""83"""
"1987,"" - "",""626"",""1.166"",""645"",""240"",""18"",""321"",""481"",""934"","" - "",""38"",""0,2"""
"1988,""79"",""190"",""23"",""17"","" - "",""9"",""209"",""11"",""69"",""677"",""170"",""32"""
"1989,"" - "","" - "",""90"",""2"",""157"",""18"",""73"",""175"",""80"",""1.718"",""10"",""543"""
"1990,""19"","" - "",""723"","" - "",""102"",""107"",""55"",""115"",""180"",""96"","" - "",""90"""
"1991,""0,6"","" - "",""0,2"",""478"",""106"",""53"",""1"",""19"",""38"",""2"",""156"",""0,8"""
"1992,""3"","" - "","" - "",""197"","" - "",""90"",""104"",""20"",""147"",""121"",""52"",""58"""
"1993,""237"",""5"",""2"","" - "",""98"",""9"",""114"",""53"",""96"",""0,9"",""46"",""3"""
"1994,""4"",""26"",""25"",""8"",""2"",""9"",""58"",""64"",""59"",""795"",""121"",""18"""
"1995,"" - "","" - "",""229"","" - "",""307"",""7"",""19"",""220"",""156"",""293"","" - "",""246"""
"1996,"" - "",""51"",""36"",""3"",""42"",""16"",""202"",""142"",""68"",""113"",""408"",""40"""
"1997,"" - "","" - "",""26"","" - "",""12"",""99"",""249"",""160"",""408"",""417"","" - "",""8"""
"1998,"" - "",""1.380"",""44"","" - "",""53"",""10"",""674"",""124"",""924"",""222"",""1"",""85"""
"1999,""102"",""22"",""141"",""76"",""148"",""36"",""37"",""55"",""271"",""251"",""203"",""225"""
"2000,"" - "",""3"",""222"",""4"",""55"",""17"","" - "",""59"",""28"",""147"",""124"",""47"""
"2001,"" - "",""5"",""57"",""9"",""8"",""5"",""88"",""93"",""134"",""316"",""402"",""482"""
"2002,""154"",""9"",""5"",""81"",""6"",""78"",""12"",""97"",""181"",""163"",""104"",""29"""
"2003,""912"",""96"",""132"",""3"",""32"","" - "",""92"",""35"",""8"",""126"",""174"",""153"""
"2004,""0,1"",""229"","" - "",""3"",""3"",""44"",""42"",""64"",""25"",""209"",""69"","" - """
"2005,""47"",""32"","" - "",""12"",""25"",""27"",""20"",""241"",""274"",""217"",""2"","" - """
"2006,"" - "",""32"",""0,5"",""16"",""7"",""18"",""31"",""74"",""189"",""283"",""79"",""50"""
"2007,""6"",""142"","" - "",""18"","" - "",""10"",""27"",""36"",""227"","" - "","" - "","" - """
"2008,""28"",""0,6"","" - "",""3"",""1"",""3"",""89"",""242"",""126"",""2"",""20"",""21"""
"2009,""5"","" - "",""11"",""14"",""3"","" - "",""6"",""27"",""366"",""107"",""441"","" - """
"2010,""10"","" - "",""19"",""190"",""0,8"",""68"",""76"",""147"","" - "",""152"",""109"",""5"""
"2011,""6"",""3"",""84"",""19"","" - "",""8"",""37"",""207"",""111"",""2"","" - "","" - """
"2012,"" - "","" - "",""0,8"","" - "",""2"",""26"",""23"",""10"",""21"",""9"",""144"","" - """
"2013,"" - "","" - "",""3"",""9"",""20"",""10"",""48"",""15"",""29"",""120"",""35"",""20"""
"2014,""17"",""7"","" - "",""0,1"",""19"",""0,1"",""9"",""6"",""29"",""17"",""7"",""40"""
"2015,""2"",""14"",""4"",""0,4"",""6"",""9"",""10"",""33"",""290"",""212"",""523"",""5"""
"2016,""307"",""533"",""1.376"",""345"",""12"",""280"",""1.239"",""182"",""96"",""757"",""271"",""300"""
"2017,""0,8"",""10"",""0,3"",""0,1"",""25"",""4"",""13"",""89"",""4"",""113"",""59"",""16"""
"2018,""9"",""64"",""0,3"",""4"","" - "",""13"",""4"",""44"",""19"",""132"",""63"",""35"""
"2019,""16"",""0,9"",""19"","" - "",""0,1"",""1"",""5"",""60"",""19"",""18"",""108"",""98"""
"2020,""29"",""3"",""6"",""6"",""1"",""5"",""17"",""78"",""139"",""177"",""19"",""3"""
"2021,""0,3"","" - "",""16"",""6"",""20"",""3"",""52"",""100"",""75"",""26"",""179"","" - """
"2022,""16"","" - "",""1"",""8"",""8"",""0,6"",""15"",""37"",""138"",""83"",""17"",""40"""
"2023,""23"","" - "",""1"",""1"",""2"",""6"",""2"",""151"",""345"",""334"",""35"",""85"""
"2024,""43"",""146"",""7"",""116"",""5"",""16"",""62"",""108"",""291"",""603"",""31"",""48"""
"2025,""10"","" - "","" - "",""0,5"",""3"",""3"",""22"",""3"",""28"",""35"",""42"",""2"""
