date,year,month,fire_trends (ha)
2017-01,2017,1,0.8
2017-02,2017,2,10.0
2017-03,2017,3,0.3
2017-04,2017,4,0.1
2017-05,2017,5,25.0
2017-06,2017,6,4.0
2017-07,2017,7,13.0
2017-08,2017,8,89.0
2017-09,2017,9,4.0
2017-10,2017,10,113.0
2017-11,2017,11,59.0
2017-12,2017,12,16.0
2018-01,2018,1,9.0
2018-02,2018,2,64.0
2018-03,2018,3,0.3
2018-04,2018,4,4.0
2018-05,2018,5,0.0
2018-06,2018,6,13.0
2018-07,2018,7,4.0
2018-08,2018,8,44.0
2018-09,2018,9,19.0
2018-10,2018,10,132.0
2018-11,2018,11,63.0
2018-12,2018,12,35.0
2019-01,2019,1,16.0
2019-02,2019,2,0.9
2019-03,2019,3,19.0
2019-04,2019,4,0.0
2019-05,2019,5,0.1
2019-06,2019,6,1.0
2019-07,2019,7,5.0
2019-08,2019,8,60.0
2019-09,2019,9,19.0
2019-10,2019,10,18.0
2019-11,2019,11,108.0
2019-12,2019,12,98.0
2020-01,2020,1,29.0
2020-02,2020,2,3.0
2020-03,2020,3,6.0
2020-04,2020,4,6.0
2020-05,2020,5,1.0
2020-06,2020,6,5.0
2020-07,2020,7,17.0
2020-08,2020,8,78.0
2020-09,2020,9,139.0
2020-10,2020,10,177.0
2020-11,2020,11,19.0
2020-12,2020,12,3.0
2021-01,2021,1,0.3
2021-02,2021,2,0.0
2021-03,2021,3,16.0
2021-04,2021,4,6.0
2021-05,2021,5,20.0
2021-06,2021,6,3.0
2021-07,2021,7,52.0
2021-08,2021,8,100.0
2021-09,2021,9,75.0
2021-10,2021,10,26.0
2021-11,2021,11,179.0
2021-12,2021,12,0.0
2022-01,2022,1,16.0
2022-02,2022,2,0.0
2022-03,2022,3,1.0
2022-04,2022,4,8.0
2022-05,2022,5,8.0
2022-06,2022,6,0.6
2022-07,2022,7,15.0
2022-08,2022,8,37.0
2022-09,2022,9,138.0
2022-10,2022,10,83.0
2022-11,2022,11,17.0
2022-12,2022,12,40.0
2023-01,2023,1,23.0
2023-02,2023,2,0.0
2023-03,2023,3,1.0
2023-04,2023,4,1.0
2023-05,2023,5,2.0
2023-06,2023,6,6.0
2023-07,2023,7,2.0
2023-08,2023,8,151.0
2023-09,2023,9,345.0
2023-10,2023,10,334.0
2023-11,2023,11,35.0
2023-12,2023,12,85.0
