year,I_H_no_intervention,I_H_with_intervention,E_H_no_intervention,E_H_with_intervention,R_H_no_intervention,R_H_with_intervention,S_H_no_intervention,S_H_with_intervention,S_M_no_intervention,S_M_with_intervention,E_M_no_intervention,E_M_with_intervention,I_M_no_intervention,I_M_with_intervention,difference,reduction_percent
2017.0,2273.0,2273.0,1136.5,1136.5,0.0,0.0,5148.5,5148.5,89500.0,89500.0,10000.0,10000.0,500.0,500.0,0.0,0.0
2017.002737850787,2235.1166666666663,2235.1166666666663,1136.5,1136.5,37.8833333305936,37.8833333305936,5148.92790000274,5148.92790000274,80550.0,80550.0,9000.000000000004,9000.000000000004,450.0,450.0,0.0,0.0
2017.0054757015744,2197.233333333333,2197.233333333333,1136.5,1136.5,75.76666666118722,75.76666666118722,5149.35580000548,5149.35580000548,71600.0,71600.0,8000.000000000003,8000.000000000003,400.0,400.0,0.0,0.0
2017.0082135523612,2160.0228759767965,2160.022875880675,1136.4999959345191,1136.4999959537304,112.86653795148568,112.86653795148572,5149.894290137198,5149.894290214109,63603.779524312944,63603.779524312944,7106.567559549165,7106.567558451517,355.3286872332293,355.3286857574005,9.612131179892458e-08,4.45001360253914e-09
2017.0109514031485,2135.6566161324176,2135.638883626964,1133.1359938703815,1133.1411211856023,148.55770095865546,148.55770096568048,5142.361289038542,5142.373894221754,57243.39588611096,57243.395876554125,6395.910229045416,6395.910222813509,499.8962600262743,499.6188767241128,0.01773250545375049,0.0008303069566428379
2017.013689253936,2109.029979230664,2108.995001646378,1133.1234392633903,1133.1226734173442,183.74497124277937,183.7448543268264,5134.24111026316,5134.276970609451,51519.05535273515,51518.83001338844,5756.31982137831,5756.294575722268,573.7734375752917,573.279117026398,0.034977584286025376,0.0016584678563357626
2017.0164271047229,2136.0840788790106,2135.9003102400416,1142.10382318447,1142.020800882565,218.39206087485496,218.39136172616472,5063.987437061656,5064.254927151231,46367.14890786271,46366.9456721444,6257.893994724383,6254.712335127265,1669.0025465230813,1666.0201795423384,0.1837686389690134,0.008603062060434102
2017.01916495551,2138.47780650238,2138.1897618783346,1228.8547358656328,1228.3066417062412,253.39512771843664,253.39135066495024,4940.267629913544,4941.107545750476,41730.43393355145,41730.226231105495,6007.735923896102,6002.998236403839,2092.756668345238,2088.5004577815826,0.2880446240455967,0.013469610167089481
2017.021902806297,2102.836509816098,2102.5563439113844,1228.8547358656328,1228.313629851665,288.342191391445,288.3336385669327,4941.389762926819,4942.21958767002,37557.38950863431,37557.08515212585,5406.962275852097,5402.722244040155,1883.4810957862203,1879.708910329191,0.2801659047136127,0.013323237608144552
2017.024640657084,2067.6683140535665,2067.4059429795425,1228.8549277818488,1228.3141493115072,322.73998393415553,322.71169161478286,4942.58787423042,4943.419316094162,33716.65142081207,33725.49132126504,4854.029618293043,4851.535815382874,1690.8715545547698,1687.9446245837876,0.26237107402403126,0.01268922448734851
2017.0273785078716,2096.0952761394497,2095.576986264506,1370.13253827194,1368.6892636403095,356.3169037764375,356.2843176679909,4739.734281812165,4741.728432427193,30344.98604796904,30352.94108605163,4672.179986997024,4668.055321538105,2512.1623634487,2505.6329996587056,0.5182898749435481,0.02472644639980893
2017.0301163586585,2102.6009913965377,2101.9028219442675,1530.4448703233209,1527.8177644947198,390.2755714565631,390.2343472074195,4539.385466823571,4542.751966353592,27310.665722047284,27317.894014635287,4327.746434842612,4322.642343756306,2766.814244183084,2758.6460850351195,0.6981694522701218,0.0332050377188494
2017.0328542094453,2067.5576428461645,2066.871024349391,1530.444872611147,1527.8174095502295,424.2496730652408,424.1969254619465,4540.8826114774265,4544.249440638435,68093.59196130757,68110.87930063086,3894.9715543595903,3890.377059271535,2490.1330032238534,2482.7809683181104,0.6866184967734625,0.03320915860068962
2017.0355920602328,2033.098347285052,2032.4231733361005,1530.444872611147,1527.8174095502295,457.5466409961737,457.4825932146168,4542.472839107607,4545.839523899055,61284.2517928043,61299.79901717775,3505.474286762884,3501.3393083703204,2241.1196311949607,2234.502842784538,0.6751739489513966,0.03320911405259892
2017.03832991102,1998.9871450380083,1998.2971973174144,1530.4458842289362,1527.817668061247,490.4406209015897,490.3953615225073,4544.116949831448,4547.480373098839,54887.196168537725,54870.45614684703,3139.568973607118,3134.10827333379,2007.1840183120084,2000.1401520142751,0.6899477205938638,0.03451486530598701
2017.041067761807,1980.6608210797096,1979.8774361457847,1565.0224057345515,1562.0510423933656,522.4134011712059,522.3567725681747,4496.321872014515,4500.133248892683,49398.475787995776,49383.404001989846,3097.3005689771967,3089.7010738323397,1809.6968975806344,1803.143325323768,0.7833849339249355,0.0395516953527607
2017.043805612594,2071.2219496941293,2069.425203529885,1617.4940962776227,1613.8744485264435,553.9931477711134,553.923620369013,4322.137206257115,4327.623127574665,44458.62470749039,44445.05668023613,4233.784148602996,4216.027260365805,1992.5400479501127,1984.103201975116,1.7967461642442686,0.08674812298651072
2017.046543463381,2036.7146878625877,2034.9368088023875,1617.4936180113984,1613.8743768442678,586.9954724920473,586.8963001486471,4324.070521633948,4329.566814204703,40012.67486385719,40000.50137533609,3810.529179826448,3794.450967837182,1793.3130013526013,1785.6981713418854,1.7778790602001209,0.08729151268928592
2017.0492813141684,2002.299732517664,2001.0164829158875,1617.4935552775696,1613.8743356158343,619.8765015312295,619.2097159245935,4326.032410673518,4331.60166554369,35648.00882365907,35996.61746864927,3394.881904999179,3414.6430298407754,1597.697482285468,1606.9572146821197,1.2832496017765607,0.06408878655559826
2017.0520191649557,2028.9805140706496,2027.1322111376307,1604.4363989922265,1601.3540333146263,651.5499107395265,650.8635589683312,4281.163276197578,4286.780296579418,32083.18243421669,32396.93532873109,3225.162692522381,3243.3231044088857,1441.4470346921212,1448.735149220307,1.8483029330188856,0.09109515444831558
