parameter,group,lower,upper,PRCC,p_value,n_used,spearman
gamma,calibrated_epi,0.006666666666666667,1.0,-0.5299190681289577,1.3103250379793878e-28,400,-0.4304219133584278
A,climate_mortality,-0.05,-0.01,0.4378371559579898,4.842772145953308e-19,400,0.33976635861903387
b2,calibrated_epi,0.01,0.5,0.2958862960906958,4.920376514762e-09,400,0.21728012009764808
B,climate_mortality,1.0,1.6,0.23958192190513053,2.616878833705154e-06,400,0.21656780669509482
b1,calibrated_epi,0.001,0.5,0.20672954388202472,5.367917719920092e-05,400,0.19118824663142941
H0,calibrated_epi,20.0,75.0,-0.15755248090527968,0.0021836806702583934,400,-0.14724523104861495
M_prime,calibrated_epi,50000.0,4184500.0,0.14928613043440314,0.0037149630351486166,400,0.1128062360742477
k,calibrated_epi,0.01,1.0,0.13455977720757611,0.00899052111272454,400,0.16820859821432105
phi,calibrated_epi,0.01,0.5,-0.1154128251723944,0.025223032001231587,400,-0.053492095552519714
omega,human_immune,0.0033333333333333335,0.1,0.11224907641368584,0.029538427437006052,400,0.06498999289663261
T_prime,climate_rate,14.0,20.0,-0.07209721983348488,0.1629620577771361,400,0.019046091344179016
tau_H,human_immune,10.0,20.0,0.07147684183076129,0.16662124360668878,400,0.06400707299674671
Tmin,climate_rate,12.0,17.0,-0.05953568853385993,0.24947815934243922,400,-0.05143626219512432
C,climate_mortality,-5.5,-3.5,0.05613352015435415,0.2776111027872091,400,0.07577132123185125
Topt_anop,anop_suitability,22.0,28.0,-0.05554655122362481,0.28267436550519326,400,0.0028819216471250323
R_L,climate_rate,20.0,50.0,-0.0525766629137009,0.3092446589774689,400,-0.022175088488868646
c1,climate_mortality,0.003,0.008,0.05048728925455644,0.3288920222658482,400,0.010584819454176877
DD,climate_rate,80.0,140.0,-0.04580617070301834,0.37576722618138864,400,-0.05152951003994988
B_E,climate_mortality,100.0,300.0,0.034529270169340126,0.5044418481629083,400,0.003160914192247364
Topt_plasm,climate_rate,21.0,26.0,-0.033314299627947005,0.5195649527291936,400,-0.07732361622718868
D1,climate_rate,18.0,32.0,-0.029288150896601004,0.5712925892615203,400,-0.08744682755825603
Tmin_anop,anop_suitability,13.0,19.0,-0.02644715354777133,0.6092031313755664,400,-0.019533984094689046
c2,climate_mortality,-0.09,-0.04,0.023085118585586296,0.6554483833709964,400,-0.03602270635769288
Tmax_anop,anop_suitability,30.0,38.0,-0.003275266034638009,0.9495288304432812,400,-0.019954663297989252
Tmax_plasm,climate_rate,27.0,32.0,0.0006915198538060227,0.9893370508888616,400,0.03567161883455777
