parameter,group,lower,upper,PRCC,p_value,n_used,spearman
A,climate_mortality,-0.05,-0.01,0.8218445104979096,1.0271491110690092e-240,1000,0.6712546552546553
B,climate_mortality,1.0,1.6,0.6341949800817336,3.650461047337855e-111,1000,0.40313398313398313
M_prime,calibrated_epi,50000.0,4184500.0,0.3901141766946044,6.6587060830108225e-37,1000,0.1953745353745354
b1,calibrated_epi,0.001,0.5,0.38468643005400216,7.55207427949476e-36,1000,0.19614835614835616
b2,calibrated_epi,0.01,0.5,0.3511159734849352,9.420848913906166e-30,1000,0.16237207837207837
gamma,calibrated_epi,0.006666666666666667,1.0,-0.3467373842544976,5.209839481297949e-29,1000,-0.16745237945237945
T_prime,climate_rate,14.0,20.0,-0.24133088842123984,1.9965846751238926e-14,1000,-0.10952918552918553
k,calibrated_epi,0.01,1.0,0.2286210128889643,4.601724705308382e-13,1000,0.08075058875058876
D1,climate_rate,18.0,32.0,-0.17946577457096685,1.5933493817630885e-08,1000,-0.060494040494040495
Tmin,climate_rate,12.0,17.0,-0.17713475488752264,2.4525903823193655e-08,1000,-0.07068472668472668
R_L,climate_rate,20.0,50.0,-0.1709718287839344,7.464322129027937e-08,1000,-0.08432332832332833
H0,calibrated_epi,20.0,75.0,-0.16296744144380795,2.987165543371009e-07,1000,-0.0718897438897439
DD,climate_rate,80.0,140.0,-0.14612719619766132,4.461381942141277e-06,1000,-0.0894015774015774
c1,climate_mortality,0.003,0.008,0.12751419380728451,6.361460440109737e-05,1000,0.007516291516291517
C,climate_mortality,-5.5,-3.5,0.09283601903029577,0.003662868602458037,1000,0.024432264432264435
Tmax_anop,anop_suitability,30.0,38.0,-0.05926526638683416,0.06393103075659534,1000,-0.04615928215928216
Tmin_anop,anop_suitability,13.0,19.0,-0.052537078754001675,0.10058492427736834,1000,0.017662769662769664
Tmax_plasm,climate_rate,27.0,32.0,0.040975261470161166,0.2004333373425777,1000,-0.05572373572373573
Topt_plasm,climate_rate,21.0,26.0,0.03778165135315231,0.23781902287204615,1000,-0.002111102111102111
B_E,climate_mortality,100.0,300.0,0.020752873582601934,0.5168269802766361,1000,-0.012797412797412798
c2,climate_mortality,-0.09,-0.04,-0.020220341530418,0.5276440720221459,1000,-0.01276106476106476
phi,calibrated_epi,0.01,0.5,0.014152898575778455,0.6584460892234164,1000,0.002118002118002118
Topt_anop,anop_suitability,22.0,28.0,-0.007518183669418664,0.8143494299559675,1000,-0.01734961734961735
