parameter,group,lower,upper,low_out,high_out,swing
M_prime,calibrated_epi,50000.0,4184500.0,1.3141271058384028,12.02192895959469,10.707801853756289
b2,calibrated_epi,0.01,0.5,0.9190044256194949,6.49834261295993,5.579338187340435
A,climate_mortality,-0.05,-0.01,1.1067840049294418e-22,3.2827958441013445,3.2827958441013445
B,climate_mortality,1.0,1.6,0.014986755275840887,2.5395769214735466,2.5245901661977057
b1,calibrated_epi,0.001,0.5,0.06189056483875302,1.3839151014531006,1.3220245366143475
gamma,calibrated_epi,0.006666666666666667,1.0,0.11560675966683319,1.4158878600015394,1.3002811003347063
H0,calibrated_epi,20.0,75.0,0.14280121883958094,1.3274997007757008,1.18469848193612
k,calibrated_epi,0.01,1.0,0.14502608170950268,1.3282082528709338,1.1831821711614312
T_prime,climate_rate,14.0,20.0,0.7723915910117434,1.604411258169815,0.8320196671580715
D1,climate_rate,18.0,32.0,1.0284803110657716,1.828409441894705,0.7999291308289334
DD,climate_rate,80.0,140.0,1.0328252703838467,1.5884393989672674,0.5556141285834206
R_L,climate_rate,20.0,50.0,1.0409726322644761,1.539184055547085,0.4982114232826089
Tmin,climate_rate,12.0,17.0,1.065432936543502,1.5253005096148362,0.4598675730713342
C,climate_mortality,-5.5,-3.5,1.1199988390160722,1.4915735852289416,0.37157474621286934
c1,climate_mortality,0.003,0.008,0.9953505363802154,1.3614896009182602,0.3661390645380448
Tmax_plasm,climate_rate,27.0,32.0,1.210877200004224,1.3633457595099447,0.1524685595057207
Topt_plasm,climate_rate,21.0,26.0,1.296278717722273,1.4123524950715938,0.11607377734932078
B_E,climate_mortality,100.0,300.0,1.2436822928435252,1.358830597875056,0.11514830503153073
Topt_anop,anop_suitability,22.0,28.0,1.2330056164809768,1.3270713691171243,0.09406575263614747
c2,climate_mortality,-0.09,-0.04,1.2959672012584038,1.3471201424182935,0.051152941159889664
phi,calibrated_epi,0.01,0.5,1.326180823198063,1.3271838280936936,0.0010030048956306548
Tmin_anop,anop_suitability,13.0,19.0,1.3270713691171243,1.3270713691171243,0.0
Tmax_anop,anop_suitability,30.0,38.0,1.3270713691171243,1.3270713691171243,0.0
