year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.0,5148.5,1136.5,2273.0,0.0,89500.0,10000.0,500.0
2017.002737850787,5148.92790000274,1136.5,2235.1166666666663,37.8833333305936,80550.0,9000.000000000004,450.0
2017.0054757015744,5149.35580000548,1136.5,2197.233333333333,75.76666666118722,71600.0,8000.000000000003,400.0
2017.0082135523614,5149.894290137198,1136.4999959345191,2160.0228759767965,112.86653795148568,63603.779524312944,7106.567559549165,355.3286872332293
2017.0109514031485,5142.361289038542,1133.1359938703815,2135.6566161324176,148.55770095865546,57243.39588611096,6395.910229045416,499.8962600262743
2017.0136892539356,5134.24111026316,1133.1234392633905,2109.0299792306637,183.74497124277937,51519.05535273515,5756.31982137831,573.7734375752917
2017.0164271047229,5063.987437061656,1142.10382318447,2136.0840788790106,218.39206087485496,46367.148907862706,6257.8939947243825,1669.0025465230813
2017.01916495551,4940.267629913544,1228.8547358656328,2138.47780650238,253.39512771843664,41730.43393355145,6007.735923896102,2092.756668345238
2017.021902806297,4941.389762926819,1228.8547358656328,2102.836509816098,288.342191391445,37557.38950863431,5406.962275852097,1883.4810957862205
2017.024640657084,4942.58787423042,1228.8549277818488,2067.6683140535665,322.73998393415553,33716.65142081207,4854.029618293043,1690.8715545547698
2017.0273785078714,4739.734281812165,1370.13253827194,2096.0952761394497,356.3169037764375,30344.98604796904,4672.179986997024,2512.1623634487
2017.0301163586585,4539.385466823571,1530.4448703233209,2102.6009913965377,390.27557145656306,27310.665722047284,4327.746434842612,2766.814244183084
2017.0328542094455,4540.8826114774265,1530.444872611147,2067.5576428461645,424.24967306524076,68093.59196130757,3894.9715543595903,2490.1330032238534
2017.0355920602328,4542.472839107607,1530.444872611147,2033.0983472850517,457.5466409961737,61284.2517928043,3505.474286762884,2241.1196311949607
2017.03832991102,4544.116949831448,1530.4458842289362,1998.9871450380083,490.4406209015897,54887.196168537725,3139.568973607118,2007.1840183120084
2017.041067761807,4496.321872014515,1565.0224057345515,1980.6608210797096,522.4134011712059,49398.475787995776,3097.3005689771967,1809.6968975806342
2017.043805612594,4322.137206257115,1617.4940962776227,2071.2219496941293,553.9931477711134,44458.62470749039,4233.784148602996,1992.5400479501127
2017.0465434633813,4324.070521633948,1617.4936180113984,2036.7146878625874,586.9954724920473,40012.67486385719,3810.529179826448,1793.3130013526013
2017.0492813141684,4326.032410673518,1617.4935552775696,2002.2997325176636,619.8765015312295,35648.00882365907,3394.881904999179,1597.697482285468
2017.0520191649555,4281.163276197578,1604.4363989922263,2028.9805140706496,651.5499107395265,32083.182434216695,3225.162692522381,1441.4470346921212
2017.0547570157426,4081.786815715888,1477.391780582423,2327.053390530525,683.5811759751409,28874.86706952587,4266.327814659768,1768.3537282837387
2017.0574948665299,4084.087540220448,1477.391780582423,2288.2692033077865,720.4925386933207,38175.09116544867,3839.6957866894804,1591.5185920391486
