year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.0,5148.5,1136.5,2273.0,0.0,89500.0,10000.0,500.0
2017.002737850787,5148.92790000274,1136.5,2235.1166666666663,37.8833333305936,80550.0,9000.000000000004,450.0
2017.0054757015744,5149.35580000548,1136.5,2197.233333333333,75.76666666118722,71600.0,8000.000000000003,400.0
2017.0082135523614,5149.894290214109,1136.4999959537304,2160.022875880675,112.86653795148571,63603.779524312944,7106.567558451517,355.3286857574005
2017.0109514031485,5142.373894221754,1133.1411211856025,2135.638883626964,148.55770096568048,57243.395876554125,6395.910222813509,499.61887672411274
2017.0136892539356,5134.276970609451,1133.1226734173442,2108.995001646378,183.74485432682636,51518.83001338844,5756.294575722268,573.279117026398
2017.0164271047229,5064.254927151231,1142.020800882565,2135.9003102400416,218.39136172616472,46366.9456721444,6254.712335127265,1666.0201795423384
2017.01916495551,4941.107545750476,1228.3066417062412,2138.1897618783346,253.39135066495024,41730.226231105495,6002.998236403839,2088.5004577815826
2017.021902806297,4942.21958767002,1228.313629851665,2102.5563439113844,288.3336385669327,37557.08515212585,5402.722244040155,1879.708910329191
2017.024640657084,4943.419316094162,1228.3141493115072,2067.4059429795425,322.71169161478286,33725.49132126504,4851.535815382874,1687.9446245837876
2017.0273785078714,4741.728432427193,1368.6892636403097,2095.576986264506,356.2843176679909,30352.94108605163,4668.055321538105,2505.6329996587056
2017.0301163586585,4542.751966353592,1527.8177644947198,2101.9028219442675,390.2343472074195,27317.894014635287,4322.642343756306,2758.6460850351195
2017.0328542094455,4544.249440638435,1527.8174095502295,2066.871024349391,424.19692546194653,68110.87930063086,3890.377059271535,2482.7809683181104
2017.0355920602328,4545.839523899055,1527.8174095502295,2032.4231733361003,457.48259321461677,61299.79901717775,3501.3393083703204,2234.5028427845386
2017.03832991102,4547.480373098839,1527.8176680612473,1998.2971973174144,490.3953615225073,54870.45614684703,3134.10827333379,2000.1401520142751
2017.041067761807,4500.133248892683,1562.0510423933656,1979.8774361457847,522.3567725681747,49383.404001989846,3089.7010738323393,1803.1433253237676
2017.043805612594,4327.623127574665,1613.8744485264435,2069.425203529885,553.923620369013,44445.05668023613,4216.027260365805,1984.103201975116
2017.0465434633813,4329.566814204703,1613.8743768442678,2034.9368088023875,586.8963001486471,40000.50137533609,3794.450967837182,1785.6981713418854
2017.0492813141684,4331.60166554369,1613.8743356158343,2001.0164829158875,619.2097159245935,35996.61746864927,3414.6430298407754,1606.9572146821195
2017.0520191649555,4286.780296579418,1601.3540333146263,2027.1322111376307,650.8635589683312,32396.93532873109,3243.3231044088857,1448.735149220307
2017.0547570157426,4087.832994430524,1476.5943578610202,2321.7850820998033,682.8659042307698,29157.28044485312,4288.326094416692,1770.1759200294268
2017.0574948665299,4090.1304821750036,1476.5933453267257,2283.0914380247414,719.6911216737315,37921.22661781878,3859.507838618754,1593.1650722574607
