parameter,group,baseline,lower,upper,S1,S1_conf,ST,ST_conf,enters_R0
gamma,calibrated_epi,0.008333333333333333,0.006666666666666667,1.0,0.149433411229259,0.04692546296068291,0.43988756427648845,0.16884455884226549,True
A,climate_mortality,-0.03,-0.05,-0.01,0.16736312242407386,0.02798097339445257,0.439841430884496,0.09142680824115886,True
B,climate_mortality,1.31,1.0,1.6,0.04933491627878191,0.021641311201952253,0.12971764891244358,0.024037264044688478,True
b2,calibrated_epi,0.09,0.01,0.5,0.03633862649316588,0.01356421229128817,0.12643813501946616,0.040877714810842895,True
M_prime,calibrated_epi,,50000.0,4184500.0,0.03678304332445379,0.00965333869171514,0.12152009318004035,0.02721846430136358,True
b1,calibrated_epi,0.04,0.001,0.5,0.03388086181664334,0.011909479684048594,0.1113309865866735,0.02172374984266399,True
k,calibrated_epi,0.25,0.01,1.0,0.014104722644046318,0.007162012295963935,0.09152904330090691,0.04397242802847496,True
H0,calibrated_epi,58.0,20.0,75.0,0.005606615971808173,0.006438057280200352,0.05021912309935509,0.02081930873813004,True
T_prime,climate_rate,16.0,14.0,20.0,0.004261605784355183,0.0066995710339958344,0.04564244802057778,0.010749106007245934,True
D1,climate_rate,24.8,18.0,32.0,0.01145132518133677,0.007329671128965677,0.031736034132619204,0.006117974872424149,True
R_L,climate_rate,32.67,20.0,50.0,0.005924435184075584,0.004719541558608617,0.012517394129651862,0.002657072406847797,True
c1,climate_mortality,0.00554,0.003,0.008,0.0006278071832101851,0.0027077355912131155,0.007004487627784297,0.003971164399697721,True
DD,climate_rate,105.0,80.0,140.0,0.0030024248231104865,0.00300254214753257,0.006862819222181192,0.0013770442622965061,True
c2,climate_mortality,-0.06737,-0.09,-0.04,-0.0003819698769445535,0.0018117760469127573,0.005202948023150391,0.0029799690767300024,True
Tmin,climate_rate,14.5,12.0,17.0,0.0010110982093647855,0.002498319220801982,0.0051922560034314835,0.0010886244095226936,True
C,climate_mortality,-4.4,-5.5,-3.5,0.0008103996521768745,0.0021704114946325677,0.002593279505090545,0.0005869334629235223,True
B_E,climate_mortality,200.0,100.0,300.0,0.0009403192133328593,0.0016376624668882097,0.0010505056367045447,0.0006458751893904761,True
phi,calibrated_epi,0.05,0.01,0.5,-0.00041501698709210867,0.0008378408482613267,0.0009765543706725353,0.0005741233071710624,True
Topt_anop,anop_suitability,,22.0,28.0,0.00030420205363732147,0.0008026948980140262,0.0007946159913671912,0.00024527451068335267,True
Tmax_plasm,climate_rate,,27.0,32.0,0.0005820636485816865,0.0007783538622942243,0.0006009653102526134,0.00014227685777161114,True
Topt_plasm,climate_rate,,21.0,26.0,0.0004729564407525416,0.0009212644146394831,0.0005836703141553046,0.00012654763166279235,True
Tmax_anop,anop_suitability,,30.0,38.0,3.697722847117194e-06,0.00039251190934475,0.00011711866236688837,4.981519382103928e-05,True
Tmin_anop,anop_suitability,,13.0,19.0,2.0186143697599748e-05,0.00032827644361815134,6.948694447641992e-05,2.9761378893207606e-05,True
omega,human_immune,0.003703703703703704,0.0033333333333333335,0.1,0.0,0.0,0.0,0.0,False
tau_H,human_immune,10.0,10.0,20.0,0.0,0.0,0.0,0.0,False
