parameter,group,baseline,lower,upper,S1,ST,ST_conf
gamma,calibrated_epi,0.008333333333333333,0.006666666666666667,1.0,0.1494,0.4399,0.1688
A,climate_mortality,-0.03,-0.05,-0.01,0.1674,0.4398,0.0914
B,climate_mortality,1.31,1.0,1.6,0.0493,0.1297,0.024
b2,calibrated_epi,0.09,0.01,0.5,0.0363,0.1264,0.0409
M_prime,calibrated_epi,,50000.0,4184500.0,0.0368,0.1215,0.0272
b1,calibrated_epi,0.04,0.001,0.5,0.0339,0.1113,0.0217
k,calibrated_epi,0.25,0.01,1.0,0.0141,0.0915,0.044
H0,calibrated_epi,58.0,20.0,75.0,0.0056,0.0502,0.0208
T_prime,climate_rate,16.0,14.0,20.0,0.0043,0.0456,0.0107
D1,climate_rate,24.8,18.0,32.0,0.0115,0.0317,0.0061
R_L,climate_rate,32.67,20.0,50.0,0.0059,0.0125,0.0027
c1,climate_mortality,0.00554,0.003,0.008,0.0006,0.007,0.004
